,id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language,corpus_name,Rating.Mean,Conc.M,SUBTLEX
0,778307,2456,44,2767,29,hi,1,hi,co,MOT,,Mother,2454.0,27.0662641943366,Shem,male,declarative,,,,3,Eng-NA,1.0,eng,Clark,,2.67,28464.0
1,778311,2455,45,2767,29,hi,4,hi how be you,co adv:int aux pro:per,INV,Cindy,Investigator,2454.0,27.0662641943366,Shem,male,question,,,,3,Eng-NA,5.0,eng,Clark,,2.67,28464.0
2,778311,2455,45,2767,29,how,4,hi how be you,co adv:int aux pro:per,INV,Cindy,Investigator,2454.0,27.0662641943366,Shem,male,question,,,,3,Eng-NA,5.0,eng,Clark,5.36,1.35,155867.0
3,778311,2455,45,2767,29,are,4,hi how be you,co adv:int aux pro:per,INV,Cindy,Investigator,2454.0,27.0662641943366,Shem,male,question,,,,3,Eng-NA,5.0,eng,Clark,,1.96,265672.0
4,778311,2455,45,2767,29,you,4,hi how be you,co adv:int aux pro:per,INV,Cindy,Investigator,2454.0,27.0662641943366,Shem,male,question,,,,3,Eng-NA,5.0,eng,Clark,4.35,4.11,2134713.0
5,789345,2455,585,2770,29,yeah,1,yeah,co,INV,Cindy,Investigator,2454.0,27.9204911805171,Shem,male,declarative,,,,3,Eng-NA,1.0,eng,Clark,,1.89,152262.0
6,789349,2456,586,2770,29,yeah,1,yeah,co,MOT,,Mother,2454.0,27.9204911805171,Shem,male,declarative,,,,3,Eng-NA,1.0,eng,Clark,,1.89,152262.0
7,791266,2456,658,2766,29,okay,1,okay,co,MOT,,Mother,2454.0,26.756196225795197,Shem,male,declarative,,,,3,Eng-NA,1.0,eng,Clark,3.43,1.89,102320.0
8,791272,2455,659,2766,29,well,7,well you show me where they be,co pro:per v pro:obj pro:rel pro:sub cop,INV,Cindy,Investigator,2454.0,26.756196225795197,Shem,male,declarative,,,,3,Eng-NA,8.0,eng,Clark,6.16,3.33,152523.0
9,791272,2455,659,2766,29,you,7,well you show me where they be,co pro:per v pro:obj pro:rel pro:sub cop,INV,Cindy,Investigator,2454.0,26.756196225795197,Shem,male,declarative,,,,3,Eng-NA,8.0,eng,Clark,4.35,4.11,2134713.0
10,791272,2455,659,2766,29,show,7,well you show me where they be,co pro:per v pro:obj pro:rel pro:sub cop,INV,Cindy,Investigator,2454.0,26.756196225795197,Shem,male,declarative,,,,3,Eng-NA,8.0,eng,Clark,6.21,3.97,24906.0
11,791272,2455,659,2766,29,me,7,well you show me where they be,co pro:per v pro:obj pro:rel pro:sub cop,INV,Cindy,Investigator,2454.0,26.756196225795197,Shem,male,declarative,,,,3,Eng-NA,8.0,eng,Clark,3.28,4.33,471339.0
12,791272,2455,659,2766,29,where,7,well you show me where they be,co pro:per v pro:obj pro:rel pro:sub cop,INV,Cindy,Investigator,2454.0,26.756196225795197,Shem,male,declarative,,,,3,Eng-NA,8.0,eng,Clark,4.09,1.66,93341.0
