,Age,Complexity,Type
0,16.0,-0.0,Child-directed
1,16.0,-0.0,Child-directed
2,16.0,-0.0,Child-directed
3,16.0,-0.0,Child-directed
4,16.0,-0.0,Child-directed
5,16.0,-0.0,Child-directed
6,16.0,-0.0,Child-directed
7,16.0,-0.0,Child-directed
8,16.0,-0.0,Child-directed
9,16.0,-0.0,Child-directed
10,16.0,-0.0,Child-directed
11,16.0,-0.0,Child-directed
12,16.0,-0.0,Child-directed
13,16.0,-0.0,Child-directed
14,16.0,-0.0,Child-directed
15,16.0,-0.0,Child-directed
16,16.0,-0.0,Child-directed
17,16.0,-0.0,Child-directed
18,16.0,-0.0,Child-directed
19,16.0,-0.0,Child-directed
20,16.0,-0.0,Child-directed
21,16.0,-0.0,Child-directed
22,16.0,-0.0,Child-directed
23,16.0,-0.0,Child-directed
24,16.0,-0.0,Child-directed
25,16.0,-0.0,Child-directed
26,16.0,-0.0,Child-directed
27,16.0,-0.0,Child-directed
28,16.0,-0.0,Child-directed
29,16.0,-0.0,Child-directed
30,16.0,-0.0,Child-directed
31,16.0,-0.0,Child-directed
32,16.0,-0.0,Child-directed
33,16.0,-0.0,Child-directed
34,16.0,-0.0,Child-directed
35,16.0,-0.0,Child-directed
36,16.0,-0.0,Child-directed
37,16.0,-0.0,Child-directed
38,16.0,-0.0,Child-directed
39,16.0,-0.0,Child-directed
40,16.0,-0.0,Child-directed
41,16.0,-0.0,Child-directed
42,16.0,-0.0,Child-directed
43,16.0,-0.0,Child-directed
44,16.0,-0.0,Child-directed
45,16.0,-0.0,Child-directed
46,16.0,-0.0,Child-directed
47,16.0,-0.0,Child-directed
48,16.0,-0.0,Child-directed
49,16.0,-0.0,Child-directed
50,16.0,-0.0,Child-directed
51,16.0,-0.0,Child-directed
52,16.0,-0.0,Child-directed
53,16.0,-0.0,Child-directed
54,16.0,-0.0,Child-directed
55,16.0,-0.0,Child-directed
56,16.0,-0.0,Child-directed
57,16.0,-0.0,Child-directed
58,16.0,-0.0,Child-directed
59,16.0,-0.0,Child-directed
60,16.0,-0.0,Child-directed
61,16.0,-0.0,Child-directed
62,16.0,-0.0,Child-directed
63,16.0,-0.0,Child-directed
64,16.0,-0.0,Child-directed
65,16.0,-0.0,Child-directed
66,16.0,-0.0,Child-directed
67,16.0,-0.0,Child-directed
68,16.0,-0.0,Child-directed
69,16.0,-0.0,Child-directed
70,16.0,-0.0,Child-directed
71,16.0,-0.0,Child-directed
72,16.0,-0.0,Child-directed
73,16.0,-0.0,Child-directed
74,16.0,-0.0,Child-directed
75,16.0,-0.0,Child-directed
76,16.0,-0.0,Child-directed
77,16.0,-0.0,Child-directed
78,16.0,-0.0,Child-directed
79,16.0,-0.0,Child-directed
80,16.0,-0.0,Child-directed
81,16.0,-0.0,Child-directed
82,16.0,-0.0,Child-directed
83,16.0,-0.0,Child-directed
84,16.0,-0.0,Child-directed
85,16.0,-0.0,Child-directed
86,16.0,-0.0,Child-directed
87,16.0,-0.0,Child-directed
88,16.0,-0.0,Child-directed
89,16.0,-0.0,Child-directed
90,16.0,-0.0,Child-directed
91,16.0,-0.0,Child-directed
92,16.0,-0.0,Child-directed
93,16.0,-0.0,Child-directed
94,16.0,-0.0,Child-directed
95,16.0,-0.0,Child-directed
96,16.0,-0.0,Child-directed
97,16.0,-0.0,Child-directed
98,16.0,-0.0,Child-directed
99,16.0,-0.0,Child-directed
100,17.0,0.6051363032372319,Adult-directed
101,17.0,0.5727010274840783,Adult-directed
102,17.0,0.5816058058270378,Adult-directed
103,17.0,0.5656338602609858,Adult-directed
104,17.0,0.5673959752543851,Adult-directed
105,17.0,0.5887871652357024,Adult-directed
106,17.0,0.5242486440981314,Adult-directed
107,17.0,0.5960204698292225,Adult-directed
108,17.0,0.579818495252942,Adult-directed
109,17.0,0.5124936808666878,Adult-directed
110,17.0,0.5344354894051245,Adult-directed
111,17.0,0.5533852381847867,Adult-directed
112,17.0,0.5481814103097596,Adult-directed
113,17.0,0.5447271754416722,Adult-directed
114,17.0,0.5851900390548529,Adult-directed
115,17.0,0.5499130124740376,Adult-directed
116,17.0,0.5481814103097596,Adult-directed
117,17.0,0.5361434317502807,Adult-directed
118,17.0,0.515838165589535,Adult-directed
119,17.0,0.5691612007789542,Adult-directed
120,17.0,0.5621189181535413,Adult-directed
121,17.0,0.5412848312506993,Adult-directed
